Thumbnail,Platoforms URL,Last Update
https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/games/thumbnail/insultgen.png,https://scratch.mit.edu/projects/857063936/,5/27/2023
https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/games/thumbnail/fredgpt.png,https://freddiethepebble.itch.io/fredgpt&https://character.ai/chat/J7zsmjYtLYmmxy_WRvOfHr_9_2_mRsYJy77f0_y3Kiw,3/8/2025
https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/games/thumbnail/vendingsim.png,https://freddiethepebble.itch.io/vending-mashine-simulator&https://scratch.mit.edu/projects/743168450/,1/27/2024
https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/games/thumbnail/ways2sayname.png,https://freddiethepebble.github.io/Ways-2-Say-Your-Name,9/7/2024
https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/games/thumbnail/dot2dot.png,https://freddiethepebble.itch.io/dot2dot,2/29/2024
https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/games/thumbnail/human2animal.png,https://freddiethepebble.itch.io/human2animal,2/12/2024
https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/games/thumbnail/DeadSocials.png,https://freddiethepebble.github.io/DeadSocials,8/2/2024
https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/games/thumbnail/iamshape.png,https://freddiethepebble.itch.io/iamshape,1/15/2024
https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/games/thumbnail/rock-dating.png,https://freddiethepebble.itch.io/rock-dating,8/23/2024
https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/games/thumbnail/WorldDebates.png,https://forms.gle/XszE9Kg1rh2dwCoN7,3/8/2025
https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/games/thumbnail/confess.png,https://forms.gle/zb7dcNxDXGGUF2xu5,3/8/2025
https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/games/thumbnail/dickflags.png,https://freddiethepebble.github.io/FlagsWithDicks/,3/9/2025
https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/games/templates/Thubnail%20Placeholder.png,https://freddiethepebble.github.io/Slap-Sheldon/,
